"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","92.26","95.69","96.89","92.03","12.58M","-4.79%"
"Jun 10, 2020","96.90","96.99","99.35","96.80","11.14M","0.76%"
"Jun 09, 2020","96.17","94.95","96.66","94.76","9.56M","1.67%"
"Jun 08, 2020","94.59","92.91","95.01","92.81","6.62M","0.79%"
"Jun 05, 2020","93.85","93.50","95.54","92.81","9.63M","0.87%"
"Jun 04, 2020","93.04","90.28","93.48","90.25","9.53M","2.37%"
"Jun 03, 2020","90.89","91.47","91.50","89.60","8.59M","-0.16%"
"Jun 02, 2020","91.04","90.97","91.70","90.05","9.41M","0.37%"
"Jun 01, 2020","90.70","92.05","93.06","90.69","8.49M","-2.13%"
"May 29, 2020","92.67","91.00","92.89","89.60","13.78M","2.93%"
"May 28, 2020","90.03","90.87","91.19","90.00","8.77M","0.06%"
"May 27, 2020","89.98","90.54","91.00","88.56","12.53M","-0.80%"
"May 26, 2020","90.71","93.45","93.57","90.31","11.87M","-1.51%"
"May 22, 2020","92.10","92.87","93.01","91.73","5.51M","-0.99%"
"May 21, 2020","93.02","91.28","93.13","90.35","10.39M","2.01%"
"May 20, 2020","91.19","92.13","92.54","89.90","10.66M","-0.01%"
"May 19, 2020","91.20","91.26","91.65","89.56","9.89M","-0.30%"
"May 18, 2020","91.47","92.00","93.66","91.31","16.30M","0.84%"
"May 15, 2020","90.71","90.01","91.15","89.42","14.07M","0.86%"
"May 14, 2020","89.94","87.62","90.48","87.43","13.38M","1.20%"
"May 13, 2020","88.87","90.74","92.24","87.73","23.56M","-1.76%"
"May 12, 2020","90.46","90.00","92.23","88.47","23.49M","2.91%"
